7.3, 2866, 3, RS, III
8.9, 2056, 2, LTS, IV
9.4, 682, 0, RS, III
9.9, 2282, 2, LTS, III
9.9, 3313, 4, LTS, VI
10.3, 1028, 1, LTS, VI
10.6, 542, 0, LTS, IV
11.2, 2828, 3, LTS, IV
11.6, 556, 0, RS, III
11.9, 1515, 1, LTS, III
13.2, 2817, 3, LTS, IV
13.3, 1160, 1, LTS, V
13.7, 2825, 3, LTS, IV
13.9, 1298, 1, LTS, IV
13.9, 1521, 1, LTS, III
14.7, 1164, 1, LTS, V
17.1, 2558, 3, RS, V
18.1, 1923, 2, LTS, V
18.1, 2397, 3, RS, VI
18.2, 1027, 1, LTS, VI
18.8, 401, 0, LTS, V
18.9, 2552, 3, LTS, VI
20.8, 2687, 3, LTS, V
21.5, 1165, 1, LTS, V
21.6, 3795, 4, LTS, III
21.7, 1306, 1, LTS, IV
21.8, 3318, 4, RS, V
22, 2929, 3, RS, III
22.1, 758, 0, LTS, III
23.6, 399, 0, LTS, V
24.8, 755, 0, LTS, III
25.4, 1766, 2, FS, VI
25.9, 3037, 3, LTS, III
27, 390, 0, LTS, V
27, 2067, 2, LTS, IV
28.1, 1790, 2, LTS, VI
29, 754, 0, LTS, III
29, 1151, 1, LTS, V
29.2, 267, 0, LTS, VI
30.4, 2277, 2, LTS, III
30.6, 391, 0, LTS, V
30.9, 2273, 2, LTS, III
31.2, 2550, 3, LTS, VI
32.9, 3043, 3, LTS, III
33, 405, 0, IB, V
33.7, 3604, 4, RS, III
34.5, 2682, 3, LTS, V
34.8, 2826, 3, LTS, IV
36, 534, 0, LTS, IV
36.8, 1167, 1, IB, V
37.3, 3364, 4, RS, V
37.3, 3433, 4, LTS, V
37.3, 3578, 4, LTS, IV
37.5, 2674, 3, LTS, V
38.3, 1514, 1, LTS, III
38.7, 3310, 4, LTS, VI
41.8, 193, 0, RS, VI
42.1, 2064, 2, LTS, IV
43, 1303, 1, LTS, IV
45, 3800, 4, LTS, III
45.5, 1908, 2, LTS, V
45.7, 3392, 4, RS, V
46.5, 545, 0, LTS, IV
46.6, 3582, 4, LTS, IV
46.9, 1030, 1, LTS, VI
48.7, 2735, 3, RS, IV
49.6, 1359, 1, RS, III
50.1, 3034, 3, LTS, III
50.2, 1032, 1, LTS, VI
50.2, 3376, 4, RS, V
50.2, 3804, 4, LTS, III
51.1, 3311, 4, LTS, VI
51.5, 387, 0, LTS, V
51.7, 107, 0, RS, VI
51.8, 1638, 2, RS, VI
51.9, 402, 0, LTS, V
52, 2280, 2, LTS, III
54.5, 1825, 2, RS, V
55, 403, 0, LTS, V
57, 3797, 4, LTS, III
57.9, 465, 0, RS, IV
58.4, 269, 0, LTS, VI
58.4, 1519, 1, LTS, III
58.7, 311, 0, RS, V
60.1, 1572, 2, RS, VI
60.5, 2816, 3, LTS, IV
61.3, 2686, 3, LTS, V
61.8, 1921, 2, LTS, V
61.8, 3430, 4, LTS, V
62.4, 3368, 4, RS, V
62.5, 2055, 2, LTS, IV
62.9, 3529, 4, RS, IV
63.1, 2819, 3, LTS, IV
63.4, 2683, 3, LTS, V
64.5, 2690, 3, IB, V
65.1, 1199, 1, RS, IV
65.7, 1841, 2, RS, V
67.5, 1693, 2, RS, VI
67.7, 3586, 4, LTS, IV
68.2, 2911, 3, RS, III
