15.3, 1160, 1, LTS, V
16.4, 1909, 2, LTS, V
19.4, 393, 0, LTS, V
20.5, 250, 0, LTS, VI
23.8, 535, 0, LTS, IV
27, 1784, 2, LTS, VI
34.7, 2061, 2, LTS, IV
37.2, 2822, 3, LTS, IV
38.2, 2682, 3, LTS, V
44.3, 1296, 1, LTS, IV
50, 387, 0, LTS, V
56.1, 2060, 2, LTS, IV
59.8, 2280, 2, LTS, III
63.8, 1783, 2, LTS, VI
65.1, 3804, 4, LTS, III
71.6, 389, 0, LTS, V
72.2, 3437, 4, LTS, V
78.5, 2541, 3, LTS, VI
83.1, 3431, 4, LTS, V
83.5, 1774, 2, LTS, VI
84.5, 2545, 3, LTS, VI
88.3, 1154, 1, LTS, V
94.5, 1299, 1, LTS, IV
95, 386, 0, LTS, V
99.6, 3041, 3, LTS, III
102, 399, 0, LTS, V
103.5, 2676, 3, LTS, V
112.8, 1147, 1, LTS, V
116.3, 3302, 4, LTS, VI
116.7, 1300, 1, LTS, IV
117.1, 2672, 3, LTS, V
125, 3430, 4, LTS, V
130.1, 2057, 2, LTS, IV
130.9, 3443, 4, LTS, V
132.1, 3579, 4, LTS, IV
137.7, 3305, 4, LTS, VI
141.8, 258, 0, LTS, VI
148.3, 1772, 2, LTS, VI
155.5, 1915, 2, LTS, V
157.5, 1909, 2, LTS, V
164.8, 250, 0, LTS, VI
164.9, 2282, 2, LTS, III
167.7, 544, 0, LTS, IV
169.1, 2670, 3, LTS, V
170.5, 758, 0, LTS, III
185.8, 3306, 4, LTS, VI
195.8, 2057, 2, LTS, IV
207.6, 3804, 4, LTS, III
212.2, 393, 0, LTS, V
215.7, 539, 0, LTS, IV
220.6, 1300, 1, LTS, IV
223.1, 2061, 2, LTS, IV
227.8, 3802, 4, LTS, III
230.3, 2060, 2, LTS, IV
234.1, 2271, 2, LTS, III
237.2, 1780, 2, LTS, VI
241.5, 2065, 2, LTS, IV
248.2, 1147, 1, LTS, V
250.1, 3437, 4, LTS, V
252.6, 746, 0, LTS, III
260.2, 2822, 3, LTS, IV
264.5, 1296, 1, LTS, IV
267.1, 2545, 3, LTS, VI
270, 395, 0, LTS, V
274.8, 3431, 4, LTS, V
275.4, 1510, 1, LTS, III
280.2, 1915, 2, LTS, V
292.3, 1160, 1, LTS, V
292.3, 3430, 4, LTS, V
300.5, 261, 0, LTS, VI
304.7, 399, 0, LTS, V
315.6, 2818, 3, LTS, IV
336.6, 1921, 2, LTS, V
337.4, 760, 0, LTS, III
338.6, 3302, 4, LTS, VI
340.5, 539, 0, LTS, IV
341.1, 3579, 4, LTS, IV
344.3, 259, 0, LTS, VI
361.8, 3043, 3, LTS, III
372, 1299, 1, LTS, IV
372.5, 2821, 3, LTS, IV
375.4, 2669, 3, LTS, V
381.6, 2061, 2, LTS, IV
388.7, 386, 0, LTS, V
389.9, 2544, 3, LTS, VI
395.4, 399, 0, LTS, V
397.6, 2676, 3, LTS, V
408.2, 3306, 4, LTS, VI
412.5, 2266, 2, LTS, III
413.2, 1147, 1, LTS, V
416.2, 3583, 4, LTS, IV
439.5, 1780, 2, LTS, VI
443.8, 2533, 3, LTS, VI
447.4, 2822, 3, LTS, IV
452.8, 258, 0, LTS, VI
460.4, 1783, 2, LTS, VI
463.7, 1023, 1, LTS, VI
464, 1011, 1, LTS, VI
465.5, 758, 0, LTS, III
477, 3305, 4, LTS, VI
478.4, 1915, 2, LTS, V
480.9, 1300, 1, LTS, IV
486.7, 3794, 4, LTS, III
487.6, 3033, 3, LTS, III
488.9, 3579, 4, LTS, IV
491.8, 1784, 2, LTS, VI
504.1, 393, 0, LTS, V
505.6, 3443, 4, LTS, V
513, 2669, 3, LTS, V
513.3, 1296, 1, LTS, IV
516, 1792, 2, LTS, VI
518.7, 2541, 3, LTS, VI
519.6, 261, 0, LTS, VI
521.4, 1160, 1, LTS, V
522.5, 3294, 4, LTS, VI
536.7, 1507, 1, LTS, III
540.4, 1921, 2, LTS, V
546.4, 258, 0, LTS, VI
550.7, 250, 0, LTS, VI
554.9, 1908, 2, LTS, V
559.7, 1780, 2, LTS, VI
561.5, 1022, 1, LTS, VI
572.8, 744, 0, LTS, III
581.5, 1154, 1, LTS, V
584.3, 2822, 3, LTS, IV
585.2, 386, 0, LTS, V
586.3, 262, 0, LTS, VI
587.7, 539, 0, LTS, IV
596.8, 1772, 2, LTS, VI
602.5, 2821, 3, LTS, IV
607, 2682, 3, LTS, V
608.1, 3582, 4, LTS, IV
608.8, 3043, 3, LTS, III
612.1, 2669, 3, LTS, V
618.4, 1011, 1, LTS, VI
620.9, 3027, 3, LTS, III
622.7, 399, 0, LTS, V
632, 394, 0, LTS, V
634.7, 2280, 2, LTS, III
636.9, 2057, 2, LTS, IV
638.4, 2540, 3, LTS, VI
643.5, 2676, 3, LTS, V
645.3, 3305, 4, LTS, VI
646, 1160, 1, LTS, V
650.3, 1506, 1, LTS, III
656.2, 1911, 2, LTS, V
657.5, 2266, 2, LTS, III
661.2, 1023, 1, LTS, VI
666.4, 1019, 1, LTS, VI
672.6, 1784, 2, LTS, VI
681, 3587, 4, LTS, IV
689.7, 1147, 1, LTS, V
695.4, 2533, 3, LTS, VI
696, 2673, 3, LTS, V
703, 2821, 3, LTS, IV
704.4, 3302, 4, LTS, VI
707.6, 3437, 4, LTS, V
714.6, 387, 0, LTS, V
721.4, 3802, 4, LTS, III
723.9, 1521, 1, LTS, III
733.8, 2818, 3, LTS, IV
736.4, 3294, 4, LTS, VI
737, 1296, 1, LTS, IV
738.2, 1780, 2, LTS, VI
741.8, 2676, 3, LTS, V
746.1, 2682, 3, LTS, V
760.2, 2822, 3, LTS, IV
762.9, 2541, 3, LTS, VI
772.8, 3306, 4, LTS, VI
774, 539, 0, LTS, IV
777.8, 1299, 1, LTS, IV
781.6, 3041, 3, LTS, III
783.8, 3431, 4, LTS, V
785.1, 1155, 1, LTS, V
786.7, 2545, 3, LTS, VI
798.3, 1023, 1, LTS, VI
799.2, 1921, 2, LTS, V
804.7, 399, 0, LTS, V
807.1, 3305, 4, LTS, VI
807.3, 1158, 1, LTS, V
808.7, 2533, 3, LTS, VI
812, 2268, 2, LTS, III
812.2, 387, 0, LTS, V
813.6, 1772, 2, LTS, VI
815.1, 3043, 3, LTS, III
817.4, 2057, 2, LTS, IV
818.2, 1011, 1, LTS, VI
821.7, 1908, 2, LTS, V
826.7, 1300, 1, LTS, IV
827.9, 3582, 4, LTS, IV
838, 386, 0, LTS, V
850.6, 250, 0, LTS, VI
852, 1506, 1, LTS, III
853.8, 2821, 3, LTS, IV
857.5, 1784, 2, LTS, VI
859.3, 2544, 3, LTS, VI
870, 3804, 4, LTS, III
877.6, 3027, 3, LTS, III
879, 3789, 4, LTS, III
882.1, 390, 0, LTS, V
885.4, 1230, 1, RS, IV
886.9, 1783, 2, LTS, VI
893.3, 3794, 4, LTS, III
894.2, 2822, 3, LTS, IV
898.3, 758, 0, LTS, III
899.4, 2682, 3, LTS, V
905.4, 1521, 1, LTS, III
906.8, 399, 0, LTS, V
909.6, 1299, 1, LTS, IV
912.7, 1916, 2, LTS, V
918.6, 3306, 4, LTS, VI
920.5, 2067, 2, LTS, IV
921.4, 1300, 1, LTS, IV
924.2, 270, 0, LTS, VI
930.8, 535, 0, LTS, IV
932.1, 1511, 1, LTS, III
933.4, 1915, 2, LTS, V
942.2, 1780, 2, LTS, VI
944.8, 2065, 2, LTS, IV
949.7, 1151, 1, LTS, V
950, 1518, 1, LTS, III
954.3, 2271, 2, LTS, III
956.4, 1908, 2, LTS, V
960.5, 1306, 1, LTS, IV
968.1, 2670, 3, LTS, V
978.5, 539, 0, LTS, IV
979.1, 3583, 4, LTS, IV
980.3, 2280, 2, LTS, III
984.8, 2676, 3, LTS, V
998.2, 262, 0, LTS, VI
