9.3, 393, 0, LTS, V
14.5, 2673, 3, LTS, V
17.3, 3430, 4, LTS, V
18.7, 1147, 1, LTS, V
19.9, 1916, 2, LTS, V
21.9, 2670, 3, LTS, V
24.7, 1921, 2, LTS, V
27.5, 2678, 3, LTS, V
33.8, 390, 0, LTS, V
37.3, 1914, 2, LTS, V
37.8, 1908, 2, LTS, V
42.8, 2682, 3, LTS, V
42.9, 2676, 3, LTS, V
47.4, 1915, 2, LTS, V
49.3, 2669, 3, LTS, V
51, 2681, 3, LTS, V
55.1, 1854, 2, RS, V
58.7, 2570, 3, RS, V
63.1, 1059, 1, RS, V
66.4, 399, 0, LTS, V
67.2, 1062, 1, RS, V
68.8, 1154, 1, LTS, V
69.6, 1176, 1, IB, V
71, 1909, 2, LTS, V
71.6, 2597, 3, RS, V
73, 1873, 2, RS, V
73.1, 3435, 4, LTS, V
74, 1153, 1, LTS, V
75.2, 1919, 2, LTS, V
76.4, 1912, 2, LTS, V
78.9, 1148, 1, LTS, V
79, 1101, 1, RS, V
79.1, 2692, 3, IB, V
80.6, 1156, 1, LTS, V
81.1, 1092, 1, RS, V
81.8, 2677, 3, LTS, V
83, 2675, 3, LTS, V
83.6, 1806, 2, RS, V
84.3, 1050, 1, RS, V
87.2, 2563, 3, RS, V
88.9, 1929, 2, IB, V
89.8, 2580, 3, RS, V
91.8, 1910, 2, LTS, V
92.5, 404, 0, IB, V
93.2, 1161, 1, IB, V
94.8, 274, 0, RS, V
95.2, 1833, 2, RS, V
96.3, 3445, 4, IB, V
97.1, 420, 0, IB, V
99.3, 290, 0, RS, V
100.6, 1178, 1, IB, V
100.8, 405, 0, IB, V
101.9, 394, 0, LTS, V
101.9, 1931, 2, IB, V
102.2, 315, 0, RS, V
103, 3339, 4, RS, V
103.3, 1147, 1, LTS, V
103.4, 1172, 1, IB, V
104.2, 1183, 1, IB, V
106.4, 3356, 4, RS, V
107.8, 3438, 4, LTS, V
108.3, 3474, 4, IB, V
108.4, 1928, 2, IB, V
110.3, 2620, 3, RS, V
111.5, 1160, 1, LTS, V
112.1, 1926, 2, IB, V
112.2, 411, 0, IB, V
112.5, 1100, 1, RS, V
112.9, 1039, 1, RS, V
113.5, 3386, 4, RS, V
114.3, 1872, 2, RS, V
114.5, 272, 0, RS, V
116.6, 334, 0, RS, V
117, 398, 0, LTS, V
117.2, 1825, 2, RS, V
117.6, 1081, 1, RS, V
117.6, 2685, 3, IB, V
118.6, 1168, 1, IB, V
118.7, 2699, 3, IB, V
118.9, 280, 0, RS, V
119, 2673, 3, LTS, V
119.5, 3450, 4, IB, V
120.3, 1911, 2, LTS, V
120.9, 1052, 1, RS, V
121, 3439, 4, LTS, V
121.3, 2634, 3, RS, V
121.4, 1073, 1, RS, V
121.4, 2567, 3, RS, V
121.9, 1126, 1, FS, V
122.1, 304, 0, RS, V
122.4, 1074, 1, RS, V
122.8, 1164, 1, IB, V
123.2, 1179, 1, IB, V
123.4, 1077, 1, RS, V
123.8, 2612, 3, RS, V
124.4, 2596, 3, RS, V
124.6, 2573, 3, RS, V
125.8, 1128, 1, FS, V
125.8, 1809, 2, RS, V
126.4, 1170, 1, IB, V
126.7, 1127, 1, FS, V
126.8, 3434, 4, LTS, V
127, 2594, 3, RS, V
127.6, 1840, 2, RS, V
