10.1, 393, 0, LTS, V
15.8, 2673, 3, LTS, V
18.1, 3430, 4, LTS, V
21.1, 1916, 2, LTS, V
24.2, 2670, 3, LTS, V
26.1, 1921, 2, LTS, V
27.5, 1147, 1, LTS, V
35.4, 390, 0, LTS, V
38.7, 1914, 2, LTS, V
43.4, 2682, 3, LTS, V
44.4, 2676, 3, LTS, V
52.6, 2669, 3, LTS, V
55.6, 1854, 2, RS, V
60.3, 2570, 3, RS, V
66.9, 399, 0, LTS, V
69.6, 1154, 1, LTS, V
69.9, 1062, 1, RS, V
70.9, 1176, 1, IB, V
71.9, 1909, 2, LTS, V
73.6, 2597, 3, RS, V
73.8, 1908, 2, LTS, V
75, 1873, 2, RS, V
76.3, 1915, 2, LTS, V
77.7, 1912, 2, LTS, V
78.6, 1919, 2, LTS, V
80.3, 1153, 1, LTS, V
80.7, 1101, 1, RS, V
82.3, 1092, 1, RS, V
82.4, 2677, 3, LTS, V
83.2, 1156, 1, LTS, V
86.3, 1148, 1, LTS, V
96.3, 404, 0, IB, V
99.4, 1161, 1, IB, V
99.6, 420, 0, IB, V
101.8, 405, 0, IB, V
103.2, 2678, 3, LTS, V
106.3, 1183, 1, IB, V
107.1, 315, 0, RS, V
107.5, 394, 0, LTS, V
107.6, 1147, 1, LTS, V
111.3, 2620, 3, RS, V
112.5, 1160, 1, LTS, V
114.8, 1872, 2, RS, V
117.2, 334, 0, RS, V
117.4, 398, 0, LTS, V
120.2, 1825, 2, RS, V
121.3, 2673, 3, LTS, V
122.4, 2685, 3, IB, V
122.6, 1911, 2, LTS, V
128.6, 3434, 4, LTS, V
129.7, 3443, 4, LTS, V
131.4, 1921, 2, LTS, V
131.9, 1865, 2, RS, V
133.6, 3437, 4, LTS, V
135, 3436, 4, LTS, V
138.4, 393, 0, LTS, V
141.1, 1158, 1, LTS, V
153.6, 2679, 3, LTS, V
161.4, 1916, 2, LTS, V
165.2, 3442, 4, LTS, V
176.2, 3447, 4, IB, V
177.8, 1148, 1, LTS, V
179.4, 1914, 2, LTS, V
180.2, 2682, 3, LTS, V
181.6, 1154, 1, LTS, V
182.8, 399, 0, LTS, V
185.4, 2587, 3, RS, V
186, 2669, 3, LTS, V
186.8, 3337, 4, RS, V
191.1, 3340, 4, RS, V
194.6, 1908, 2, LTS, V
201.3, 2670, 3, LTS, V
202, 1064, 1, RS, V
202, 1070, 1, RS, V
202, 1073, 1, RS, V
202, 1082, 1, RS, V
202, 1097, 1, RS, V
202, 1105, 1, RS, V
202, 1106, 1, RS, V
202, 1107, 1, RS, V
202.1, 1036, 1, RS, V
202.1, 1051, 1, RS, V
202.1, 1052, 1, RS, V
202.1, 1067, 1, RS, V
202.1, 1071, 1, RS, V
202.1, 1075, 1, RS, V
202.1, 1084, 1, RS, V
202.1, 1094, 1, RS, V
202.1, 1100, 1, RS, V
202.1, 1101, 1, RS, V
202.2, 1092, 1, RS, V
202.2, 1099, 1, RS, V
203.6, 386, 0, LTS, V
206.6, 1128, 1, FS, V
206.8, 2676, 3, LTS, V
207.4, 1125, 1, FS, V
207.4, 1134, 1, FS, V
207.6, 1120, 1, FS, V
207.7, 1117, 1, FS, V
207.7, 1118, 1, FS, V
207.8, 1106, 1, RS, V
207.8, 1135, 1, FS, V
208, 1075, 1, RS, V
208, 1082, 1, RS, V
208.1, 1064, 1, RS, V
208.2, 1036, 1, RS, V
208.2, 1052, 1, RS, V
208.2, 1097, 1, RS, V
208.4, 1094, 1, RS, V
208.5, 1070, 1, RS, V
208.5, 1127, 1, FS, V
208.6, 1105, 1, RS, V
208.7, 1051, 1, RS, V
208.7, 1067, 1, RS, V
208.7, 1073, 1, RS, V
208.7, 1084, 1, RS, V
208.7, 1832, 2, RS, V
208.8, 1071, 1, RS, V
208.8, 1100, 1, RS, V
208.8, 1107, 1, RS, V
208.8, 1143, 1, FS, V
208.9, 1101, 1, RS, V
209, 1092, 1, RS, V
209, 1131, 1, FS, V
209.1, 1099, 1, RS, V
209.2, 1139, 1, FS, V
209.3, 397, 0, LTS, V
209.4, 1130, 1, FS, V
209.8, 1142, 1, FS, V
210.2, 1136, 1, FS, V
210.3, 1915, 2, LTS, V
210.5, 1144, 1, FS, V
210.8, 1124, 1, FS, V
211.1, 1151, 1, LTS, V
211.2, 1116, 1, FS, V
211.4, 1068, 1, RS, V
211.6, 1121, 1, FS, V
211.7, 1129, 1, FS, V
211.7, 1132, 1, FS, V
211.9, 1119, 1, FS, V
212.1, 3438, 4, LTS, V
212.3, 1146, 1, FS, V
212.5, 1123, 1, FS, V
212.8, 1087, 1, RS, V
212.8, 1943, 2, IB, V
213.4, 1155, 1, LTS, V
213.6, 309, 0, RS, V
213.6, 1106, 1, RS, V
213.9, 1075, 1, RS, V
214, 1082, 1, RS, V
214, 1118, 1, FS, V
214.2, 1064, 1, RS, V
214.3, 1036, 1, RS, V
214.3, 1052, 1, RS, V
214.4, 1097, 1, RS, V
214.7, 1094, 1, RS, V
214.8, 1188, 1, IB, V
215, 1070, 1, RS, V
215.1, 1870, 2, RS, V
215.2, 1105, 1, RS, V
215.3, 1051, 1, RS, V
215.3, 1067, 1, RS, V
215.3, 1084, 1, RS, V
215.4, 1073, 1, RS, V
215.4, 1145, 1, FS, V
215.5, 1071, 1, RS, V
215.5, 1100, 1, RS, V
215.6, 1107, 1, RS, V
215.7, 1101, 1, RS, V
215.8, 1092, 1, RS, V
216, 1099, 1, RS, V
216.1, 377, 0, FS, V
218.1, 1149, 1, LTS, V
218.5, 1053, 1, RS, V
219.2, 1900, 2, FS, V
219.5, 2701, 3, IB, V
220.7, 1120, 1, FS, V
220.9, 1879, 2, FS, V
221.4, 1890, 2, FS, V
222.1, 1116, 1, FS, V
222.4, 2675, 3, LTS, V
222.7, 1930, 2, IB, V
222.8, 1144, 1, FS, V
223, 1121, 1, FS, V
223.2, 3443, 4, LTS, V
224.4, 2709, 3, IB, V
224.5, 1127, 1, FS, V
224.6, 1942, 2, IB, V
224.7, 1892, 2, FS, V
225.1, 1907, 2, FS, V
225.6, 1123, 1, FS, V
226.2, 1165, 1, IB, V
226.7, 2619, 3, RS, V
226.8, 1128, 1, FS, V
227.3, 378, 0, FS, V
228.7, 387, 0, LTS, V
229.2, 1923, 2, IB, V
230, 2700, 3, IB, V
230.6, 3431, 4, LTS, V
230.9, 1947, 2, IB, V
232.6, 1164, 1, IB, V
235, 1169, 1, IB, V
235.7, 399, 0, LTS, V
237, 2602, 3, RS, V
239.9, 1191, 1, IB, V
241.2, 2578, 3, RS, V
243.1, 1806, 2, RS, V
245, 1859, 2, RS, V
245.6, 2693, 3, IB, V
246.1, 1924, 2, IB, V
246.9, 3436, 4, LTS, V
247.3, 1192, 1, IB, V
248.2, 2596, 3, RS, V
249, 2689, 3, IB, V
249.4, 327, 0, RS, V
250.2, 1909, 2, LTS, V
251, 2590, 3, RS, V
251.6, 1817, 2, RS, V
253.6, 3433, 4, LTS, V
255, 1148, 1, LTS, V
255.2, 1066, 1, RS, V
255.8, 1846, 2, RS, V
256.2, 1160, 1, LTS, V
256.3, 1864, 2, RS, V
257, 2677, 3, LTS, V
257.2, 1841, 2, RS, V
258.8, 2583, 3, RS, V
259.3, 2628, 3, RS, V
259.9, 1150, 1, LTS, V
259.9, 1175, 1, IB, V
260.8, 1114, 1, RS, V
261.3, 1839, 2, RS, V
261.4, 1848, 2, RS, V
261.7, 1159, 1, LTS, V
262.1, 285, 0, RS, V
262.3, 2607, 3, RS, V
262.8, 1074, 1, RS, V
263, 1111, 1, RS, V
264.2, 1065, 1, RS, V
264.6, 398, 0, LTS, V
265, 3437, 4, LTS, V
266.7, 1800, 2, RS, V
266.8, 1829, 2, RS, V
266.8, 2569, 3, RS, V
266.8, 2576, 3, RS, V
267, 1890, 2, FS, V
267.2, 2672, 3, LTS, V
267.3, 2622, 3, RS, V
267.7, 1887, 2, FS, V
269.1, 1835, 2, RS, V
269.3, 1147, 1, LTS, V
270.1, 396, 0, LTS, V
270.4, 1158, 1, LTS, V
272, 413, 0, IB, V
272.2, 2669, 3, LTS, V
273.6, 1180, 1, IB, V
274.3, 1921, 2, LTS, V
274.6, 2694, 3, IB, V
278, 2707, 3, IB, V
279.5, 2648, 3, FS, V
280.9, 1926, 2, IB, V
282.8, 1172, 1, IB, V
284, 1854, 2, RS, V
284.1, 2601, 3, RS, V
285.7, 1911, 2, LTS, V
286.4, 1035, 1, RS, V
287, 390, 0, LTS, V
287.4, 2616, 3, RS, V
288.1, 3319, 4, RS, V
289, 2683, 3, IB, V
294.1, 1189, 1, IB, V
294.1, 2684, 3, IB, V
295.5, 1059, 1, RS, V
296.2, 1844, 2, RS, V
298.4, 1908, 2, LTS, V
299.4, 301, 0, RS, V
301.3, 3432, 4, LTS, V
302.1, 386, 0, LTS, V
304, 1182, 1, IB, V
304.9, 2568, 3, RS, V
306.6, 3430, 4, LTS, V
307.1, 1916, 2, LTS, V
308.1, 3441, 4, LTS, V
309.2, 1096, 1, RS, V
309.7, 3443, 4, LTS, V
313.5, 389, 0, LTS, V
314, 3455, 4, IB, V
314.1, 1115, 1, RS, V
314.5, 2682, 3, LTS, V
315.3, 1040, 1, RS, V
316.1, 1154, 1, LTS, V
321, 393, 0, LTS, V
321, 1186, 1, IB, V
321.7, 342, 0, RS, V
322.7, 3448, 4, IB, V
325.3, 412, 0, IB, V
326.7, 3391, 4, RS, V
333, 1810, 2, RS, V
333.1, 288, 0, RS, V
334.6, 3434, 4, LTS, V
335.1, 422, 0, IB, V
336.3, 3475, 4, IB, V
337.6, 2670, 3, LTS, V
337.7, 3442, 4, LTS, V
339.5, 2705, 3, IB, V
339.8, 2698, 3, IB, V
341.4, 2675, 3, LTS, V
343.5, 1915, 2, LTS, V
343.8, 2712, 3, IB, V
346.5, 3454, 4, IB, V
346.9, 387, 0, LTS, V
350.5, 394, 0, LTS, V
