16.3, 1298, 1, LTS, IV
20, 393, 0, LTS, V
20, 2540, 3, LTS, VI
20.4, 1304, 1, LTS, IV
20.5, 535, 0, LTS, IV
22.6, 1783, 2, LTS, VI
25.6, 2279, 2, LTS, III
28, 3298, 4, LTS, VI
31.5, 3429, 4, LTS, V
31.9, 2826, 3, LTS, IV
32.7, 2537, 3, LTS, VI
36.6, 3579, 4, LTS, IV
37.7, 2822, 3, LTS, IV
38.2, 2061, 2, LTS, IV
39.8, 1296, 1, LTS, IV
40.7, 3433, 4, LTS, V
40.9, 261, 0, LTS, VI
42.3, 1514, 1, LTS, III
45.3, 2818, 3, LTS, IV
47.4, 1015, 1, LTS, VI
48.1, 3800, 4, LTS, III
52.1, 1919, 2, LTS, V
54.5, 545, 0, LTS, IV
55.2, 1146, 1, LTS, V
63, 757, 0, LTS, III
67.1, 389, 0, LTS, V
68.5, 2553, 3, LTS, VI
68.8, 1511, 1, LTS, III
69.7, 2057, 2, LTS, IV
71.3, 3437, 4, LTS, V
73.7, 543, 0, LTS, IV
78, 1907, 2, LTS, V
79, 1149, 1, LTS, V
84.1, 3325, 4, RS, V
87.2, 386, 0, LTS, V
92.3, 1513, 1, LTS, III
93.3, 1776, 2, LTS, VI
97.9, 3298, 4, LTS, VI
98.2, 2278, 2, LTS, III
99.6, 880, 1, RS, VI
102, 3036, 3, LTS, III
102.1, 2676, 3, LTS, V
103.2, 3799, 4, LTS, III
104.5, 1195, 1, RS, IV
104.5, 1220, 1, RS, IV
104.7, 1207, 1, RS, IV
104.7, 1254, 1, RS, IV
104.8, 1222, 1, RS, IV
105.1, 1272, 1, RS, IV
105.2, 1198, 1, RS, IV
105.3, 1255, 1, RS, IV
105.3, 1278, 1, FS, IV
105.5, 1204, 1, RS, IV
105.5, 1264, 1, RS, IV
105.5, 1268, 1, RS, IV
105.6, 522, 0, FS, IV
105.6, 1221, 1, RS, IV
105.6, 1239, 1, RS, IV
105.6, 1249, 1, RS, IV
105.7, 1201, 1, RS, IV
105.7, 1260, 1, RS, IV
105.7, 2043, 2, FS, IV
105.8, 1231, 1, RS, IV
105.8, 1236, 1, RS, IV
105.8, 2052, 2, FS, IV
105.9, 1202, 1, RS, IV
106.1, 1216, 1, RS, IV
106.1, 1217, 1, RS, IV
106.1, 1228, 1, RS, IV
106.1, 1244, 1, RS, IV
106.2, 1193, 1, RS, IV
106.2, 3039, 3, LTS, III
106.3, 517, 0, FS, IV
106.3, 1213, 1, RS, IV
106.3, 1253, 1, RS, IV
106.3, 1286, 1, FS, IV
106.5, 1243, 1, RS, IV
106.5, 1274, 1, FS, IV
106.5, 1290, 1, FS, IV
106.6, 519, 0, FS, IV
106.6, 1203, 1, RS, IV
106.6, 1227, 1, RS, IV
106.6, 1250, 1, RS, IV
106.6, 1293, 1, FS, IV
106.7, 1212, 1, RS, IV
106.9, 1205, 1, RS, IV
106.9, 1206, 1, RS, IV
106.9, 1238, 1, RS, IV
107, 1199, 1, RS, IV
107, 1240, 1, RS, IV
107, 1246, 1, RS, IV
107, 1266, 1, RS, IV
107.1, 1257, 1, RS, IV
107.2, 1280, 1, FS, IV
107.2, 1289, 1, FS, IV
107.2, 2050, 2, FS, IV
107.2, 2808, 3, FS, IV
107.3, 1258, 1, RS, IV
107.3, 1262, 1, RS, IV
107.3, 1277, 1, FS, IV
107.4, 1209, 1, RS, IV
107.4, 1248, 1, RS, IV
107.4, 1270, 1, RS, IV
107.4, 1281, 1, FS, IV
107.4, 2802, 3, FS, IV
107.5, 1215, 1, RS, IV
107.5, 1241, 1, RS, IV
107.5, 1291, 1, FS, IV
107.6, 520, 0, FS, IV
107.6, 1214, 1, RS, IV
107.6, 1245, 1, RS, IV
107.6, 1256, 1, RS, IV
107.7, 1122, 1, FS, V
107.7, 1261, 1, RS, IV
107.8, 1279, 1, FS, IV
107.8, 1284, 1, FS, IV
107.9, 1210, 1, RS, IV
107.9, 1234, 1, RS, IV
107.9, 1259, 1, RS, IV
107.9, 1265, 1, RS, IV
107.9, 1267, 1, RS, IV
107.9, 1287, 1, FS, IV
107.9, 1288, 1, FS, IV
108, 1226, 1, RS, IV
108, 1273, 1, RS, IV
108, 1282, 1, FS, IV
108, 1283, 1, FS, IV
108, 1292, 1, FS, IV
108.1, 1235, 1, RS, IV
108.2, 1133, 1, FS, V
108.2, 1219, 1, RS, IV
108.2, 1275, 1, FS, IV
108.2, 1278, 1, FS, IV
108.2, 1285, 1, FS, IV
108.2, 2051, 2, FS, IV
108.4, 1230, 1, RS, IV
108.5, 1276, 1, FS, IV
108.5, 3035, 3, LTS, III
108.6, 530, 0, FS, IV
108.6, 1208, 1, RS, IV
108.6, 1224, 1, RS, IV
108.6, 2036, 2, FS, IV
108.6, 2040, 2, FS, IV
108.7, 518, 0, FS, IV
108.7, 521, 0, FS, IV
108.7, 1142, 1, FS, V
108.7, 1211, 1, RS, IV
108.7, 1300, 1, LTS, IV
108.8, 1304, 1, LTS, IV
108.9, 524, 0, FS, IV
108.9, 532, 0, FS, IV
108.9, 1196, 1, RS, IV
108.9, 1225, 1, RS, IV
109, 1194, 1, RS, IV
109, 2047, 2, FS, IV
109.1, 1197, 1, RS, IV
109.1, 1200, 1, RS, IV
109.2, 514, 0, FS, IV
109.2, 531, 0, FS, IV
109.2, 1237, 1, RS, IV
109.2, 1252, 1, RS, IV
109.2, 1286, 1, FS, IV
109.3, 525, 0, FS, IV
109.3, 528, 0, FS, IV
109.3, 1401, 1, RS, III
109.4, 1274, 1, FS, IV
109.4, 1290, 1, FS, IV
109.4, 2048, 2, FS, IV
109.5, 515, 0, FS, IV
109.5, 1242, 1, RS, IV
109.5, 1269, 1, RS, IV
109.5, 1293, 1, FS, IV
109.6, 397, 0, LTS, V
109.6, 527, 0, FS, IV
109.7, 526, 0, FS, IV
109.7, 1424, 1, RS, III
109.7, 2049, 2, FS, IV
109.7, 2812, 3, FS, IV
109.8, 1431, 1, RS, III
109.8, 2039, 2, FS, IV
109.9, 517, 0, FS, IV
109.9, 2044, 2, FS, IV
110, 529, 0, FS, IV
110, 1127, 1, FS, V
110, 1271, 1, RS, IV
110, 1297, 1, LTS, IV
110, 1312, 1, RS, III
110, 1379, 1, RS, III
110, 2043, 2, FS, IV
110.1, 1280, 1, FS, IV
110.1, 1289, 1, FS, IV
110.1, 2041, 2, FS, IV
110.1, 2046, 2, FS, IV
110.1, 2052, 2, FS, IV
110.2, 1218, 1, RS, IV
110.2, 1233, 1, RS, IV
