10.5, 2535, 3, LTS, VI
12.3, 2542, 3, LTS, VI
13.9, 1164, 1, LTS, V
13.9, 1775, 2, LTS, VI
15.1, 1928, 2, LTS, V
16.1, 2551, 3, LTS, VI
17.3, 252, 0, LTS, VI
17.5, 1027, 1, LTS, VI
19.2, 1157, 1, LTS, V
21, 268, 0, LTS, VI
21.5, 1521, 1, LTS, III
22.6, 1790, 2, LTS, VI
23.4, 1506, 1, LTS, III
24.3, 3302, 4, LTS, VI
24.9, 3296, 4, LTS, VI
25.1, 396, 0, LTS, V
25.5, 541, 0, LTS, IV
25.8, 408, 0, LTS, V
26, 2679, 3, LTS, V
28.4, 3454, 4, LTS, V
28.7, 263, 0, LTS, VI
29.3, 406, 0, LTS, V
29.7, 3585, 4, LTS, IV
30.2, 2691, 3, LTS, V
31.4, 259, 0, LTS, VI
32.1, 2277, 2, LTS, III
32.2, 1509, 1, LTS, III
33.1, 2060, 2, LTS, IV
33.3, 755, 0, LTS, III
33.4, 2826, 3, LTS, IV
33.5, 3440, 4, LTS, V
34.4, 1784, 2, LTS, VI
35.2, 1167, 1, LTS, V
35.8, 3310, 4, LTS, VI
37.6, 542, 0, LTS, IV
40.4, 1029, 1, LTS, VI
41, 1780, 2, LTS, VI
41.3, 2821, 3, LTS, IV
42.8, 2282, 2, LTS, III
43.6, 3043, 3, LTS, III
43.8, 3028, 3, LTS, III
44.1, 3582, 4, LTS, IV
46, 1303, 1, LTS, IV
49, 2537, 3, LTS, VI
49.2, 1920, 2, LTS, V
50.5, 1302, 1, LTS, IV
51.4, 3800, 4, LTS, III
52, 1919, 2, LTS, V
55.8, 403, 0, LTS, V
58.5, 3450, 4, LTS, V
58.6, 402, 0, LTS, V
59.7, 3804, 4, LTS, III
60.2, 2825, 3, LTS, IV
60.3, 1771, 2, LTS, VI
62.4, 2686, 3, LTS, V
63.7, 1783, 2, LTS, VI
66.2, 3032, 3, LTS, III
67.5, 1511, 1, LTS, III
68.6, 2549, 3, LTS, VI
