17.5, 1028, 1, LTS, VI
19.3, 2279, 2, LTS, III
22.1, 2545, 3, LTS, VI
22.7, 1784, 2, LTS, VI
26.4, 3427, 4, LTS, V
29.9, 2548, 3, LTS, VI
37.1, 3433, 4, LTS, V
47.7, 3306, 4, LTS, VI
51.9, 1787, 2, LTS, VI
53.2, 1032, 1, LTS, VI
60.1, 757, 0, LTS, III
61.8, 545, 0, LTS, IV
63.4, 1518, 1, LTS, III
64.9, 389, 0, LTS, V
64.9, 1783, 2, LTS, VI
72.1, 1023, 1, LTS, VI
76.1, 3437, 4, LTS, V
81.6, 1149, 1, LTS, V
92.3, 271, 0, LTS, VI
94.9, 396, 0, LTS, V
104, 1513, 1, LTS, III
104.3, 1195, 1, RS, IV
104.3, 1220, 1, RS, IV
104.4, 1207, 1, RS, IV
104.4, 1222, 1, RS, IV
104.4, 1254, 1, RS, IV
104.6, 1278, 1, RS, IV
104.7, 1255, 1, RS, IV
104.7, 1264, 1, RS, IV
104.7, 1272, 1, RS, IV
104.8, 1198, 1, RS, IV
104.8, 1204, 1, RS, IV
104.8, 1239, 1, RS, IV
104.8, 1268, 1, RS, IV
104.9, 1217, 1, RS, IV
104.9, 1221, 1, RS, IV
104.9, 1231, 1, RS, IV
104.9, 1280, 1, FS, IV
105, 1201, 1, RS, IV
105, 1202, 1, RS, IV
105, 1228, 1, RS, IV
105, 1236, 1, RS, IV
105, 1249, 1, RS, IV
105, 1260, 1, RS, IV
105, 1287, 1, FS, IV
105.1, 1193, 1, RS, IV
105.1, 1244, 1, RS, IV
105.2, 1216, 1, RS, IV
105.2, 1250, 1, RS, IV
105.2, 1253, 1, RS, IV
105.2, 1274, 1, RS, IV
105.3, 470, 0, RS, IV
105.3, 1113, 1, FS, V
105.3, 1142, 1, FS, V
105.3, 1212, 1, RS, IV
105.3, 1238, 1, RS, IV
105.3, 1258, 1, RS, IV
105.3, 1277, 1, RS, IV
105.4, 1114, 1, FS, V
105.4, 1119, 1, FS, V
105.4, 1203, 1, RS, IV
105.4, 1205, 1, RS, IV
105.4, 1208, 1, RS, IV
105.4, 1213, 1, RS, IV
105.4, 1227, 1, RS, IV
105.4, 1243, 1, RS, IV
105.4, 1266, 1, RS, IV
105.4, 1270, 1, RS, IV
105.4, 1279, 1, FS, IV
105.4, 1286, 1, FS, IV
105.5, 1115, 1, FS, V
105.5, 1199, 1, RS, IV
105.5, 1240, 1, RS, IV
105.5, 1290, 1, FS, IV
105.6, 1206, 1, RS, IV
105.6, 1209, 1, RS, IV
105.6, 1225, 1, RS, IV
105.6, 1245, 1, RS, IV
105.6, 1246, 1, RS, IV
105.6, 1257, 1, RS, IV
105.6, 1261, 1, RS, IV
105.6, 1281, 1, FS, IV
105.7, 1112, 1, FS, V
105.7, 1194, 1, RS, IV
