4.3, 1120, 1, FS, V
4.9, 1881, 2, FS, V
5, 2520, 3, FS, VI
5.1, 3022, 3, FS, III
5.2, 2056, 2, LTS, IV
5.2, 2521, 3, FS, VI
5.3, 542, 0, LTS, IV
5.3, 1789, 2, LTS, VI
5.4, 2636, 3, FS, V
5.5, 515, 0, FS, IV
5.5, 1030, 1, LTS, VI
5.5, 2258, 2, FS, III
5.5, 2282, 2, LTS, III
5.5, 2535, 3, FS, VI
5.6, 1164, 1, LTS, V
5.6, 2043, 2, FS, IV
5.6, 3288, 4, FS, VI
5.7, 758, 0, LTS, III
5.7, 1766, 2, FS, VI
5.7, 1924, 2, LTS, V
5.7, 2254, 2, FS, III
5.7, 2637, 3, FS, V
5.7, 2825, 3, LTS, IV
5.7, 3559, 4, FS, IV
5.7, 3784, 4, FS, III
5.8, 1028, 1, LTS, VI
5.8, 1306, 1, LTS, IV
5.8, 3557, 4, FS, IV
5.8, 3782, 4, FS, III
5.9, 1777, 2, FS, VI
5.9, 2246, 2, FS, III
6, 269, 0, LTS, VI
6, 739, 0, FS, III
6, 760, 0, LTS, III
6, 2669, 3, LTS, V
6, 3785, 4, FS, III
6, 3797, 4, LTS, III
6.1, 386, 0, LTS, V
6.1, 3038, 3, LTS, III
6.1, 3313, 4, LTS, VI
6.1, 3315, 4, LTS, VI
6.1, 3443, 4, LTS, V
6.2, 265, 0, LTS, VI
6.2, 1160, 1, LTS, V
6.2, 1923, 2, LTS, V
6.2, 2526, 3, FS, VI
6.2, 2686, 3, LTS, V
6.2, 2802, 3, FS, IV
6.2, 3578, 4, LTS, IV
6.3, 0, 0, RS, VI
6.3, 1, 0, RS, VI
6.3, 2, 0, RS, VI
6.3, 3, 0, RS, VI
6.3, 6, 0, RS, VI
6.3, 9, 0, RS, VI
6.3, 10, 0, RS, VI
6.3, 11, 0, RS, VI
6.3, 12, 0, RS, VI
6.3, 13, 0, RS, VI
6.3, 14, 0, RS, VI
6.3, 17, 0, RS, VI
6.3, 18, 0, RS, VI
6.3, 19, 0, RS, VI
6.3, 20, 0, RS, VI
6.3, 21, 0, RS, VI
6.3, 25, 0, RS, VI
6.3, 26, 0, RS, VI
6.3, 27, 0, RS, VI
6.3, 29, 0, RS, VI
6.3, 30, 0, RS, VI
6.3, 32, 0, RS, VI
6.3, 33, 0, RS, VI
6.3, 34, 0, RS, VI
6.3, 35, 0, RS, VI
6.3, 37, 0, RS, VI
6.3, 39, 0, RS, VI
6.3, 40, 0, RS, VI
6.3, 41, 0, RS, VI
6.3, 42, 0, RS, VI
6.3, 43, 0, RS, VI
6.3, 44, 0, RS, VI
6.3, 46, 0, RS, VI
6.3, 47, 0, RS, VI
6.3, 48, 0, RS, VI
6.3, 49, 0, RS, VI
6.3, 50, 0, RS, VI
6.3, 52, 0, RS, VI
6.3, 53, 0, RS, VI
6.3, 55, 0, RS, VI
6.3, 56, 0, RS, VI
6.3, 58, 0, RS, VI
6.3, 59, 0, RS, VI
6.3, 60, 0, RS, VI
6.3, 61, 0, RS, VI
6.3, 63, 0, RS, VI
6.3, 64, 0, RS, VI
6.3, 66, 0, RS, VI
6.3, 67, 0, RS, VI
6.3, 68, 0, RS, VI
6.3, 69, 0, RS, VI
6.3, 70, 0, RS, VI
6.3, 71, 0, RS, VI
6.3, 72, 0, RS, VI
6.3, 73, 0, RS, VI
6.3, 76, 0, RS, VI
6.3, 77, 0, RS, VI
6.3, 78, 0, RS, VI
6.3, 86, 0, RS, VI
6.3, 88, 0, RS, VI
6.3, 89, 0, RS, VI
6.3, 90, 0, RS, VI
6.3, 93, 0, RS, VI
6.3, 94, 0, RS, VI
6.3, 95, 0, RS, VI
6.3, 98, 0, RS, VI
6.3, 99, 0, RS, VI
6.3, 100, 0, RS, VI
6.3, 101, 0, RS, VI
6.3, 103, 0, RS, VI
6.3, 105, 0, RS, VI
6.3, 106, 0, RS, VI
6.3, 107, 0, RS, VI
6.3, 108, 0, RS, VI
6.3, 110, 0, RS, VI
6.3, 111, 0, RS, VI
6.3, 112, 0, RS, VI
6.3, 113, 0, RS, VI
6.3, 114, 0, RS, VI
6.3, 115, 0, RS, VI
6.3, 118, 0, RS, VI
6.3, 119, 0, RS, VI
6.3, 122, 0, RS, VI
6.3, 123, 0, RS, VI
6.3, 124, 0, RS, VI
6.3, 125, 0, RS, VI
6.3, 127, 0, RS, VI
6.3, 128, 0, RS, VI
6.3, 129, 0, RS, VI
6.3, 131, 0, RS, VI
6.3, 132, 0, RS, VI
6.3, 133, 0, RS, VI
6.3, 134, 0, RS, VI
6.3, 135, 0, RS, VI
6.3, 136, 0, RS, VI
6.3, 139, 0, RS, VI
6.3, 142, 0, RS, VI
6.3, 144, 0, RS, VI
6.3, 146, 0, RS, VI
6.3, 149, 0, RS, VI
6.3, 150, 0, RS, VI
6.3, 151, 0, RS, VI
6.3, 152, 0, RS, VI
6.3, 153, 0, RS, VI
6.3, 154, 0, RS, VI
6.3, 155, 0, RS, VI
6.3, 156, 0, RS, VI
6.3, 157, 0, RS, VI
6.3, 158, 0, RS, VI
6.3, 162, 0, RS, VI
6.3, 163, 0, RS, VI
6.3, 164, 0, RS, VI
6.3, 165, 0, RS, VI
6.3, 166, 0, RS, VI
6.3, 167, 0, RS, VI
6.3, 168, 0, RS, VI
6.3, 169, 0, RS, VI
6.3, 171, 0, RS, VI
6.3, 172, 0, RS, VI
6.3, 173, 0, RS, VI
6.3, 175, 0, RS, VI
6.3, 176, 0, RS, VI
6.3, 179, 0, RS, VI
6.3, 180, 0, RS, VI
6.3, 181, 0, RS, VI
6.3, 182, 0, RS, VI
6.3, 183, 0, RS, VI
6.3, 185, 0, RS, VI
6.3, 186, 0, RS, VI
6.3, 187, 0, RS, VI
6.3, 188, 0, RS, VI
6.3, 189, 0, RS, VI
6.3, 190, 0, RS, VI
6.3, 191, 0, RS, VI
6.3, 192, 0, RS, VI
6.3, 195, 0, RS, VI
6.3, 197, 0, RS, VI
6.3, 200, 0, RS, VI
6.3, 202, 0, RS, VI
6.3, 203, 0, RS, VI
6.3, 205, 0, RS, VI
6.3, 206, 0, RS, VI
6.3, 207, 0, RS, VI
6.3, 211, 0, RS, VI
6.3, 212, 0, RS, VI
6.3, 213, 0, RS, VI
6.3, 214, 0, RS, VI
6.3, 216, 0, RS, VI
