12.5, 250, 0, LTS, VI
14.2, 3582, 4, LTS, IV
16, 1793, 2, LTS, VI
21.3, 1784, 2, LTS, VI
22.2, 2548, 3, LTS, VI
25.5, 1922, 2, LTS, V
25.8, 1028, 1, LTS, VI
26.7, 255, 0, LTS, VI
26.9, 1025, 1, LTS, VI
28.3, 3308, 4, LTS, VI
31.1, 3294, 4, LTS, VI
31.1, 3299, 4, LTS, VI
39.4, 538, 0, LTS, IV
47.8, 1302, 1, LTS, IV
47.8, 3442, 4, LTS, V
52.7, 2060, 2, LTS, IV
53.9, 1300, 1, LTS, IV
66.7, 2547, 3, LTS, VI
69.7, 1772, 2, LTS, VI
75.4, 1160, 1, LTS, V
76.1, 443, 0, RS, IV
77.2, 267, 0, LTS, VI
78, 1919, 2, LTS, V
81.8, 1026, 1, LTS, VI
82.7, 456, 0, RS, IV
83, 3306, 4, LTS, VI
84.2, 1780, 2, LTS, VI
84.3, 1011, 1, LTS, VI
85.1, 265, 0, LTS, VI
86.1, 3309, 4, LTS, VI
86.3, 3313, 4, LTS, VI
88.1, 541, 0, LTS, IV
91.1, 3305, 4, LTS, VI
93.6, 2683, 3, LTS, V
101.5, 396, 0, LTS, V
102.3, 1924, 2, LTS, V
103.9, 1263, 1, RS, IV
104, 1269, 1, RS, IV
104.1, 1152, 1, FS, V
104.1, 1284, 1, FS, IV
104.4, 1244, 1, RS, IV
104.4, 1268, 1, RS, IV
104.5, 1232, 1, RS, IV
104.5, 1274, 1, RS, IV
104.6, 1250, 1, RS, IV
104.7, 1212, 1, RS, IV
104.7, 1226, 1, RS, IV
104.7, 1227, 1, RS, IV
104.7, 1240, 1, RS, IV
104.7, 1276, 1, RS, IV
104.7, 1279, 1, RS, IV
104.8, 1217, 1, RS, IV
104.8, 1236, 1, RS, IV
104.8, 1242, 1, RS, IV
104.8, 1264, 1, RS, IV
104.8, 1265, 1, RS, IV
104.9, 1197, 1, RS, IV
104.9, 1259, 1, RS, IV
105, 1132, 1, FS, V
105, 1230, 1, RS, IV
105, 1273, 1, RS, IV
105.1, 1125, 1, FS, V
105.1, 1138, 1, FS, V
105.1, 1218, 1, RS, IV
105.1, 1231, 1, RS, IV
105.1, 1252, 1, RS, IV
105.1, 1255, 1, RS, IV
105.1, 1261, 1, RS, IV
105.1, 1272, 1, RS, IV
105.2, 1210, 1, RS, IV
105.2, 1211, 1, RS, IV
105.2, 1229, 1, RS, IV
105.2, 1233, 1, RS, IV
105.2, 1234, 1, RS, IV
105.2, 1257, 1, RS, IV
105.2, 1281, 1, RS, IV
105.3, 1205, 1, RS, IV
105.3, 1214, 1, RS, IV
105.3, 1283, 1, FS, IV
105.3, 1296, 1, FS, IV
105.4, 1238, 1, RS, IV
105.4, 1241, 1, RS, IV
105.4, 1248, 1, RS, IV
105.4, 1251, 1, RS, IV
105.4, 1254, 1, RS, IV
105.4, 1270, 1, RS, IV
105.5, 517, 0, RS, IV
105.5, 1216, 1, RS, IV
105.5, 1243, 1, RS, IV
105.5, 1267, 1, RS, IV
105.5, 1277, 1, RS, IV
105.5, 1290, 1, FS, IV
105.6, 507, 0, RS, IV
105.6, 1146, 1, FS, V
105.6, 1147, 1, FS, V
105.6, 1196, 1, RS, IV
105.6, 1199, 1, RS, IV
105.6, 1203, 1, RS, IV
105.6, 1208, 1, RS, IV
105.6, 1215, 1, RS, IV
105.6, 1222, 1, RS, IV
105.6, 1223, 1, RS, IV
105.6, 1237, 1, RS, IV
105.6, 1275, 1, RS, IV
105.6, 1280, 1, RS, IV
105.7, 474, 0, RS, IV
105.7, 1123, 1, FS, V
105.7, 1195, 1, RS, IV
105.7, 1207, 1, RS, IV
105.7, 1246, 1, RS, IV
105.7, 1262, 1, RS, IV
105.7, 1266, 1, RS, IV
105.7, 1287, 1, FS, IV
105.8, 1140, 1, FS, V
105.8, 1239, 1, RS, IV
105.8, 1249, 1, RS, IV
105.9, 455, 0, RS, IV
105.9, 1206, 1, RS, IV
105.9, 1253, 1, RS, IV
105.9, 1295, 1, FS, IV
106, 1220, 1, RS, IV
106, 1225, 1, RS, IV
106, 1256, 1, RS, IV
106, 1278, 1, RS, IV
106, 2019, 2, RS, IV
106.1, 1122, 1, FS, V
106.1, 1193, 1, RS, IV
106.1, 1200, 1, RS, IV
106.1, 1209, 1, RS, IV
106.1, 1221, 1, RS, IV
106.1, 1235, 1, RS, IV
106.1, 1285, 1, FS, IV
106.1, 1288, 1, FS, IV
106.2, 465, 0, RS, IV
106.2, 1224, 1, RS, IV
106.2, 1292, 1, FS, IV
106.3, 1126, 1, FS, V
106.3, 1142, 1, FS, V
106.3, 1228, 1, RS, IV
106.4, 451, 0, RS, IV
106.4, 1129, 1, FS, V
106.5, 1282, 1, RS, IV
106.5, 1293, 1, FS, IV
106.6, 1204, 1, RS, IV
106.6, 1260, 1, RS, IV
106.6, 1271, 1, RS, IV
106.6, 1291, 1, FS, IV
106.6, 1991, 2, RS, IV
106.6, 2545, 3, LTS, VI
106.6, 3440, 4, LTS, V
106.7, 1133, 1, FS, V
106.7, 1201, 1, RS, IV
106.7, 1245, 1, RS, IV
106.7, 1286, 1, FS, IV
106.8, 1202, 1, RS, IV
106.8, 1289, 1, FS, IV
106.9, 1150, 1, FS, V
106.9, 1294, 1, FS, IV
107, 1284, 1, FS, IV
107.1, 447, 0, RS, IV
107.3, 1194, 1, RS, IV
107.4, 1128, 1, FS, V
107.4, 1130, 1, FS, V
107.4, 1137, 1, FS, V
107.4, 1141, 1, FS, V
107.4, 1149, 1, FS, V
107.5, 1143, 1, FS, V
107.5, 1198, 1, RS, IV
107.5, 1219, 1, RS, IV
107.7, 438, 0, RS, IV
107.7, 534, 0, FS, IV
107.7, 1145, 1, FS, V
107.8, 525, 0, FS, IV
107.8, 530, 0, FS, IV
107.8, 2048, 2, FS, IV
107.9, 448, 0, RS, IV
107.9, 2047, 2, FS, IV
108, 1213, 1, RS, IV
108, 2049, 2, FS, IV
108.2, 480, 0, RS, IV
108.2, 524, 0, FS, IV
108.2, 1283, 1, FS, IV
108.2, 1296, 1, FS, IV
108.2, 1967, 2, RS, IV
108.2, 2046, 2, FS, IV
108.3, 1247, 1, RS, IV
108.3, 2044, 2, FS, IV
108.4, 522, 0, FS, IV
108.4, 529, 0, FS, IV
108.4, 533, 0, FS, IV
108.4, 1290, 1, FS, IV
108.4, 1996, 2, RS, IV
108.4, 2050, 2, FS, IV
108.5, 523, 0, FS, IV
108.5, 528, 0, FS, IV
108.5, 531, 0, FS, IV
108.5, 535, 0, FS, IV
108.5, 1955, 2, RS, IV
108.5, 2052, 2, FS, IV
108.5, 2056, 2, FS, IV
108.6, 512, 0, RS, IV
108.6, 527, 0, FS, IV
108.6, 532, 0, FS, IV
108.6, 1144, 1, FS, V
108.6, 1258, 1, RS, IV
108.6, 1287, 1, FS, IV
108.6, 2045, 2, FS, IV
108.6, 2053, 2, FS, IV
108.7, 526, 0, FS, IV
108.7, 1298, 1, LTS, IV
108.7, 2027, 2, RS, IV
108.7, 2055, 2, FS, IV
108.8, 1295, 1, FS, IV
108.9, 487, 0, RS, IV
108.9, 1998, 2, RS, IV
108.9, 2054, 2, FS, IV
109, 488, 0, RS, IV
109, 1285, 1, FS, IV
109, 1288, 1, FS, IV
109, 1297, 1, LTS, IV
109, 1299, 1, LTS, IV
109.1, 492, 0, RS, IV
109.1, 1292, 1, FS, IV
109.1, 1997, 2, RS, IV
109.2, 1301, 1, LTS, IV
109.3, 1305, 1, LTS, IV
109.4, 1293, 1, FS, IV
109.4, 2057, 2, FS, IV
109.5, 1291, 1, FS, IV
109.5, 1300, 1, LTS, IV
109.5, 1304, 1, LTS, IV
109.5, 2051, 2, FS, IV
109.6, 1286, 1, FS, IV
109.7, 1289, 1, FS, IV
109.7, 1302, 1, LTS, IV
109.7, 1306, 1, LTS, IV
109.8, 1294, 1, FS, IV
109.8, 1987, 2, RS, IV
109.9, 452, 0, RS, IV
109.9, 1284, 1, FS, IV
109.9, 1303, 1, LTS, IV
110, 457, 0, RS, IV
110.3, 1269, 1, RS, IV
110.4, 485, 0, RS, IV
110.5, 1263, 1, RS, IV
110.6, 534, 0, FS, IV
110.6, 1986, 2, RS, IV
110.7, 525, 0, FS, IV
110.7, 530, 0, FS, IV
110.7, 1244, 1, RS, IV
110.7, 1268, 1, RS, IV
110.7, 2048, 2, FS, IV
110.8, 1232, 1, RS, IV
110.8, 1274, 1, RS, IV
110.8, 2047, 2, FS, IV
110.9, 445, 0, RS, IV
110.9, 1250, 1, RS, IV
110.9, 2049, 2, FS, IV
111, 1212, 1, RS, IV
111, 1226, 1, RS, IV
111, 1227, 1, RS, IV
111, 1240, 1, RS, IV
111, 1276, 1, RS, IV
111, 1279, 1, RS, IV
111.1, 524, 0, FS, IV
111.1, 1217, 1, RS, IV
111.1, 1236, 1, RS, IV
111.1, 1242, 1, RS, IV
111.1, 1264, 1, RS, IV
111.1, 1265, 1, RS, IV
111.1, 1283, 1, FS, IV
111.1, 1296, 1, FS, IV
111.1, 2046, 2, FS, IV
111.2, 1197, 1, RS, IV
111.2, 2044, 2, FS, IV
111.3, 522, 0, FS, IV
111.3, 529, 0, FS, IV
111.3, 533, 0, FS, IV
111.3, 1230, 1, RS, IV
111.3, 1273, 1, RS, IV
111.3, 1290, 1, FS, IV
111.3, 2050, 2, FS, IV
111.4, 523, 0, FS, IV
111.4, 528, 0, FS, IV
111.4, 531, 0, FS, IV
111.4, 535, 0, FS, IV
111.4, 1218, 1, RS, IV
111.4, 1231, 1, RS, IV
111.4, 1252, 1, RS, IV
111.4, 1255, 1, RS, IV
111.4, 1261, 1, RS, IV
111.4, 1272, 1, RS, IV
111.4, 2052, 2, FS, IV
111.4, 2056, 2, FS, IV
111.5, 527, 0, FS, IV
111.5, 532, 0, FS, IV
111.5, 1210, 1, RS, IV
111.5, 1211, 1, RS, IV
111.5, 1229, 1, RS, IV
111.5, 1233, 1, RS, IV
111.5, 1234, 1, RS, IV
111.5, 1257, 1, RS, IV
111.5, 1281, 1, RS, IV
111.5, 1287, 1, FS, IV
111.5, 2045, 2, FS, IV
111.5, 2053, 2, FS, IV
111.6, 526, 0, FS, IV
111.6, 1205, 1, RS, IV
111.6, 1214, 1, RS, IV
111.6, 2055, 2, FS, IV
111.6, 2809, 3, FS, IV
111.7, 1238, 1, RS, IV
111.7, 1241, 1, RS, IV
111.7, 1248, 1, RS, IV
111.7, 1251, 1, RS, IV
111.7, 1254, 1, RS, IV
111.7, 1270, 1, RS, IV
111.7, 1295, 1, FS, IV
111.8, 1216, 1, RS, IV
111.8, 1243, 1, RS, IV
111.8, 1267, 1, RS, IV
111.8, 1277, 1, RS, IV
111.8, 2054, 2, FS, IV
111.8, 2807, 3, FS, IV
111.9, 1196, 1, RS, IV
111.9, 1199, 1, RS, IV
111.9, 1203, 1, RS, IV
111.9, 1208, 1, RS, IV
111.9, 1215, 1, RS, IV
111.9, 1222, 1, RS, IV
111.9, 1223, 1, RS, IV
111.9, 1237, 1, RS, IV
111.9, 1275, 1, RS, IV
111.9, 1280, 1, RS, IV
111.9, 1285, 1, FS, IV
111.9, 1288, 1, FS, IV
112, 450, 0, RS, IV
112, 1195, 1, RS, IV
112, 1207, 1, RS, IV
112, 1246, 1, RS, IV
112, 1262, 1, RS, IV
112, 1266, 1, RS, IV
112, 1292, 1, FS, IV
112.1, 1239, 1, RS, IV
112.1, 1249, 1, RS, IV
112.2, 1206, 1, RS, IV
112.2, 1253, 1, RS, IV
112.2, 2812, 3, FS, IV
112.3, 1220, 1, RS, IV
112.3, 1225, 1, RS, IV
112.3, 1256, 1, RS, IV
112.3, 1278, 1, RS, IV
112.3, 1293, 1, FS, IV
112.3, 2057, 2, FS, IV
112.4, 1193, 1, RS, IV
112.4, 1200, 1, RS, IV
112.4, 1209, 1, RS, IV
112.4, 1221, 1, RS, IV
112.4, 1235, 1, RS, IV
112.4, 1291, 1, FS, IV
112.4, 2051, 2, FS, IV
112.4, 2815, 3, FS, IV
112.4, 2816, 3, FS, IV
112.5, 1224, 1, RS, IV
112.5, 1286, 1, FS, IV
112.6, 1228, 1, RS, IV
112.6, 1289, 1, FS, IV
112.6, 2810, 3, FS, IV
112.7, 1294, 1, FS, IV
112.7, 2806, 3, FS, IV
112.7, 2814, 3, FS, IV
112.8, 1282, 1, RS, IV
112.8, 1284, 1, FS, IV
112.9, 1204, 1, RS, IV
112.9, 1260, 1, RS, IV
112.9, 1271, 1, RS, IV
113, 1201, 1, RS, IV
113, 1245, 1, RS, IV
113.1, 1102, 1, RS, V
113.1, 1202, 1, RS, IV
113.3, 2817, 3, FS, IV
113.5, 1298, 1, LTS, IV
113.6, 525, 0, FS, IV
113.6, 1194, 1, RS, IV
113.8, 530, 0, FS, IV
113.8, 1198, 1, RS, IV
113.8, 1219, 1, RS, IV
113.8, 1297, 1, LTS, IV
114, 524, 0, FS, IV
114, 1283, 1, FS, IV
114, 1296, 1, FS, IV
114, 1301, 1, LTS, IV
114.2, 1290, 1, FS, IV
114.3, 1213, 1, RS, IV
114.3, 1300, 1, LTS, IV
114.4, 527, 0, FS, IV
114.4, 1287, 1, FS, IV
114.5, 534, 0, FS, IV
114.5, 1048, 1, RS, V
114.5, 2049, 2, FS, IV
114.6, 1247, 1, RS, IV
114.6, 1295, 1, FS, IV
114.6, 2813, 3, FS, IV
114.8, 1285, 1, FS, IV
114.8, 1288, 1, FS, IV
114.8, 2046, 2, FS, IV
114.9, 1258, 1, RS, IV
114.9, 1292, 1, FS, IV
114.9, 1303, 1, LTS, IV
114.9, 2048, 2, FS, IV
115.1, 531, 0, FS, IV
115.2, 1293, 1, FS, IV
115.2, 2047, 2, FS, IV
115.3, 532, 0, FS, IV
115.3, 1291, 1, FS, IV
115.4, 1286, 1, FS, IV
115.4, 1305, 1, LTS, IV
115.5, 1289, 1, FS, IV
115.5, 1299, 1, LTS, IV
115.6, 1294, 1, FS, IV
115.6, 1304, 1, LTS, IV
115.6, 2808, 3, FS, IV
115.7, 1284, 1, FS, IV
115.9, 535, 0, FS, IV
116.5, 2044, 2, FS, IV
