9, 2822, 3, LTS, IV
9.4, 1304, 1, LTS, IV
9.4, 2059, 2, LTS, IV
11.7, 3585, 4, LTS, IV
17.4, 437, 0, RS, IV
19, 2826, 3, LTS, IV
23.1, 508, 0, RS, IV
23.7, 3587, 4, LTS, IV
25.4, 1976, 2, RS, IV
25.9, 539, 0, LTS, IV
26.5, 541, 0, LTS, IV
27.8, 473, 0, RS, IV
34.2, 486, 0, RS, IV
35.7, 467, 0, RS, IV
37.3, 1198, 1, RS, IV
37.5, 543, 0, LTS, IV
41.9, 1958, 2, RS, IV
42.9, 2061, 2, LTS, IV
43.7, 524, 0, FS, IV
47.8, 2057, 2, LTS, IV
51.1, 1221, 1, RS, IV
51.2, 1206, 1, RS, IV
51.6, 2065, 2, LTS, IV
52.9, 1254, 1, RS, IV
59.8, 1973, 2, RS, IV
60.4, 1291, 1, FS, IV
60.5, 1285, 1, FS, IV
61.4, 1284, 1, FS, IV
63.4, 1225, 1, RS, IV
66.1, 1980, 2, RS, IV
66.5, 1300, 1, LTS, IV
67.5, 1981, 2, RS, IV
67.6, 1215, 1, RS, IV
69.5, 538, 0, LTS, IV
70, 1965, 2, RS, IV
70.1, 2008, 2, RS, IV
71.6, 2825, 3, LTS, IV
72.4, 1259, 1, RS, IV
74, 1994, 2, RS, IV
75.1, 2800, 3, FS, IV
77.2, 2060, 2, LTS, IV
77.5, 1288, 1, FS, IV
77.6, 1993, 2, RS, IV
78.5, 1282, 1, FS, IV
79, 1297, 1, LTS, IV
79.5, 1974, 2, RS, IV
79.9, 2014, 2, RS, IV
79.9, 2049, 2, FS, IV
80.2, 1252, 1, RS, IV
80.5, 2056, 2, FS, IV
80.7, 2062, 2, LTS, IV
81.9, 2051, 2, FS, IV
82.5, 2779, 3, RS, IV
82.7, 2058, 2, LTS, IV
83.1, 527, 0, FS, IV
83.4, 2046, 2, FS, IV
83.5, 1967, 2, RS, IV
83.5, 2039, 2, FS, IV
85.9, 2063, 2, LTS, IV
87.6, 2038, 2, FS, IV
87.9, 1241, 1, RS, IV
88, 2044, 2, FS, IV
88.6, 1220, 1, RS, IV
89.9, 2055, 2, FS, IV
91.3, 2031, 2, RS, IV
91.7, 544, 0, LTS, IV
92.6, 2822, 3, LTS, IV
94.2, 1277, 1, FS, IV
95.6, 1304, 1, LTS, IV
95.6, 1982, 2, RS, IV
96.2, 2820, 3, LTS, IV
97.3, 1287, 1, FS, IV
100.9, 1302, 1, LTS, IV
101.3, 2824, 3, LTS, IV
102.8, 1272, 1, RS, IV
107.5, 1963, 2, RS, IV
111.2, 463, 0, RS, IV
114.5, 1219, 1, RS, IV
116.4, 531, 0, FS, IV
118.3, 2064, 2, LTS, IV
119.1, 1223, 1, RS, IV
123.6, 491, 0, RS, IV
125.8, 2035, 2, RS, IV
126.4, 539, 0, LTS, IV
126.6, 2061, 2, LTS, IV
128.4, 1303, 1, LTS, IV
130.8, 478, 0, RS, IV
133, 476, 0, RS, IV
134.3, 1306, 1, LTS, IV
134.9, 2728, 3, RS, IV
136.6, 1956, 2, RS, IV
138.1, 543, 0, LTS, IV
140.9, 1249, 1, RS, IV
141.3, 2059, 2, LTS, IV
143.4, 3583, 4, LTS, IV
143.7, 446, 0, RS, IV
145.2, 1204, 1, RS, IV
146.4, 445, 0, RS, IV
147, 2055, 2, FS, IV
148.8, 2011, 2, RS, IV
149.1, 2778, 3, RS, IV
150.1, 2737, 3, RS, IV
150.7, 521, 0, FS, IV
150.9, 525, 0, FS, IV
151.9, 1258, 1, RS, IV
153.4, 1288, 1, FS, IV
154.4, 1265, 1, RS, IV
154.6, 1195, 1, RS, IV
155.6, 520, 0, FS, IV
155.6, 1291, 1, FS, IV
156.8, 2807, 3, FS, IV
158.9, 2812, 3, FS, IV
160.3, 1976, 2, RS, IV
160.4, 3488, 4, RS, IV
160.8, 1285, 1, FS, IV
161.4, 2024, 2, RS, IV
162.5, 2797, 3, RS, IV
163.1, 2721, 3, RS, IV
163.4, 461, 0, RS, IV
164.6, 1299, 1, LTS, IV
164.8, 2043, 2, FS, IV
164.9, 542, 0, LTS, IV
165.8, 2057, 2, LTS, IV
165.9, 2733, 3, RS, IV
166, 2021, 2, RS, IV
166.1, 2026, 2, RS, IV
166.4, 2824, 3, LTS, IV
166.5, 2025, 2, RS, IV
169, 2726, 3, RS, IV
169.3, 2805, 3, FS, IV
169.7, 435, 0, RS, IV
169.7, 2745, 3, RS, IV
170, 3589, 4, LTS, IV
170.1, 2054, 2, FS, IV
170.2, 2826, 3, LTS, IV
171.1, 2042, 2, FS, IV
171.4, 2055, 2, FS, IV
171.8, 2786, 3, RS, IV
172.2, 3493, 4, RS, IV
172.3, 2792, 3, RS, IV
172.4, 1277, 1, FS, IV
172.5, 2033, 2, RS, IV
173.2, 2050, 2, FS, IV
173.9, 2818, 3, LTS, IV
173.9, 3577, 4, FS, IV
174.1, 2801, 3, FS, IV
174.2, 2046, 2, FS, IV
174.2, 2748, 3, RS, IV
174.6, 2806, 3, FS, IV
174.9, 3575, 4, FS, IV
175.3, 3574, 4, FS, IV
175.8, 2822, 3, LTS, IV
176, 2783, 3, RS, IV
176.4, 2719, 3, RS, IV
176.5, 434, 0, RS, IV
177.5, 2811, 3, FS, IV
177.9, 2724, 3, RS, IV
178, 2808, 3, FS, IV
178.1, 2065, 2, LTS, IV
178.1, 2800, 3, FS, IV
178.1, 2816, 3, FS, IV
178.3, 2815, 3, FS, IV
178.7, 3565, 4, FS, IV
179.1, 2821, 3, LTS, IV
179.3, 1202, 1, RS, IV
179.5, 492, 0, RS, IV
180.1, 2809, 3, FS, IV
180.3, 2812, 3, FS, IV
180.7, 3561, 4, FS, IV
181.6, 3587, 4, LTS, IV
182, 3566, 4, FS, IV
182.1, 2813, 3, FS, IV
182.4, 3499, 4, RS, IV
182.5, 2820, 3, LTS, IV
182.6, 3562, 4, FS, IV
184.2, 2016, 2, RS, IV
185.6, 1207, 1, RS, IV
185.8, 1271, 1, RS, IV
186.1, 2061, 2, LTS, IV
186.4, 2828, 3, LTS, IV
186.6, 1300, 1, LTS, IV
189.2, 1277, 1, FS, IV
189.3, 1295, 1, FS, IV
189.8, 533, 0, FS, IV
189.8, 1293, 1, FS, IV
189.9, 502, 0, RS, IV
190.7, 1279, 1, FS, IV
191.9, 522, 0, FS, IV
192.7, 1288, 1, FS, IV
195.9, 1984, 2, RS, IV
196.9, 1236, 1, RS, IV
201.9, 1240, 1, RS, IV
201.9, 1247, 1, RS, IV
201.9, 1255, 1, RS, IV
202, 1208, 1, RS, IV
202, 1215, 1, RS, IV
202, 1219, 1, RS, IV
202, 1227, 1, RS, IV
202, 1230, 1, RS, IV
202, 1231, 1, RS, IV
202, 1232, 1, RS, IV
202, 1239, 1, RS, IV
202, 1241, 1, RS, IV
202, 1260, 1, RS, IV
202, 1263, 1, RS, IV
202, 1264, 1, RS, IV
202, 1268, 1, RS, IV
202, 1274, 1, RS, IV
202, 1276, 1, RS, IV
202.1, 1195, 1, RS, IV
202.1, 1199, 1, RS, IV
202.1, 1209, 1, RS, IV
202.1, 1211, 1, RS, IV
202.1, 1217, 1, RS, IV
202.1, 1221, 1, RS, IV
202.1, 1223, 1, RS, IV
202.1, 1224, 1, RS, IV
202.1, 1225, 1, RS, IV
202.1, 1226, 1, RS, IV
202.1, 1233, 1, RS, IV
202.1, 1235, 1, RS, IV
202.1, 1237, 1, RS, IV
202.1, 1238, 1, RS, IV
202.1, 1249, 1, RS, IV
202.1, 1252, 1, RS, IV
202.1, 1256, 1, RS, IV
202.1, 1259, 1, RS, IV
202.1, 1269, 1, RS, IV
202.1, 1273, 1, RS, IV
202.2, 1202, 1, RS, IV
202.2, 1266, 1, RS, IV
203.3, 462, 0, RS, IV
203.8, 1290, 1, FS, IV
204.1, 1286, 1, FS, IV
204.1, 1289, 1, FS, IV
204.2, 1287, 1, FS, IV
204.3, 1284, 1, FS, IV
204.3, 1294, 1, FS, IV
204.5, 1278, 1, FS, IV
204.5, 1283, 1, FS, IV
204.5, 1288, 1, FS, IV
204.5, 1291, 1, FS, IV
204.5, 1293, 1, FS, IV
204.6, 1280, 1, FS, IV
204.6, 1295, 1, FS, IV
204.7, 1279, 1, FS, IV
204.7, 1281, 1, FS, IV
204.8, 1285, 1, FS, IV
204.8, 1292, 1, FS, IV
204.9, 1282, 1, FS, IV
204.9, 2043, 2, FS, IV
205, 1277, 1, FS, IV
205, 2004, 2, RS, IV
