10.1, 393, 0, LTS, V
15.8, 2673, 3, LTS, V
18.1, 3430, 4, LTS, V
21.1, 1916, 2, LTS, V
24.2, 2670, 3, LTS, V
26.1, 1921, 2, LTS, V
27.5, 1147, 1, LTS, V
35.4, 390, 0, LTS, V
38.7, 1914, 2, LTS, V
43.4, 2682, 3, LTS, V
44.4, 2676, 3, LTS, V
52.1, 2669, 3, LTS, V
55.5, 1854, 2, RS, V
60.1, 2570, 3, RS, V
67, 399, 0, LTS, V
69.6, 1154, 1, LTS, V
69.9, 1062, 1, RS, V
71, 1176, 1, IB, V
71.9, 1909, 2, LTS, V
73.2, 2597, 3, RS, V
73.8, 1908, 2, LTS, V
75.1, 1873, 2, RS, V
76.2, 1915, 2, LTS, V
77.7, 1912, 2, LTS, V
78.6, 1919, 2, LTS, V
80.3, 1153, 1, LTS, V
80.7, 1101, 1, RS, V
81.1, 1148, 1, LTS, V
82.4, 1092, 1, RS, V
82.6, 2677, 3, LTS, V
83.2, 1156, 1, LTS, V
96.3, 404, 0, IB, V
99.2, 1161, 1, IB, V
99.6, 420, 0, IB, V
101.8, 405, 0, IB, V
103.2, 2678, 3, LTS, V
106.3, 1183, 1, IB, V
106.8, 315, 0, RS, V
107.5, 394, 0, LTS, V
107.6, 1147, 1, LTS, V
110.8, 2620, 3, RS, V
112.4, 1160, 1, LTS, V
114.6, 1872, 2, RS, V
117.3, 334, 0, RS, V
117.4, 398, 0, LTS, V
119.8, 337, 0, RS, V
119.9, 1825, 2, RS, V
120.9, 2673, 3, LTS, V
122.3, 1081, 1, RS, V
122.4, 2685, 3, IB, V
122.6, 1911, 2, LTS, V
128.6, 3434, 4, LTS, V
129.7, 3443, 4, LTS, V
131.5, 1865, 2, RS, V
131.5, 1921, 2, LTS, V
133.6, 3437, 4, LTS, V
135, 3436, 4, LTS, V
137, 1805, 2, RS, V
138.4, 393, 0, LTS, V
141.2, 1158, 1, LTS, V
153.6, 2679, 3, LTS, V
161.4, 1916, 2, LTS, V
165.2, 3442, 4, LTS, V
176.2, 3447, 4, IB, V
177.6, 1148, 1, LTS, V
179.5, 1914, 2, LTS, V
180.2, 2682, 3, LTS, V
182.3, 1154, 1, LTS, V
184.5, 399, 0, LTS, V
185.5, 2587, 3, RS, V
186.2, 2669, 3, LTS, V
186.8, 3337, 4, RS, V
191.6, 3340, 4, RS, V
194.6, 1908, 2, LTS, V
202, 1064, 1, RS, V
202, 1070, 1, RS, V
202, 1073, 1, RS, V
202, 1082, 1, RS, V
202, 1097, 1, RS, V
202, 1105, 1, RS, V
202, 1106, 1, RS, V
202, 1107, 1, RS, V
202.1, 1036, 1, RS, V
202.1, 1051, 1, RS, V
202.1, 1052, 1, RS, V
202.1, 1067, 1, RS, V
202.1, 1071, 1, RS, V
202.1, 1075, 1, RS, V
202.1, 1084, 1, RS, V
202.1, 1094, 1, RS, V
202.1, 1100, 1, RS, V
202.1, 1101, 1, RS, V
202.2, 1092, 1, RS, V
202.2, 1099, 1, RS, V
202.9, 2670, 3, LTS, V
203.6, 386, 0, LTS, V
206.5, 2676, 3, LTS, V
206.6, 1128, 1, FS, V
207.3, 1134, 1, FS, V
207.4, 1125, 1, FS, V
207.6, 1117, 1, FS, V
207.6, 1120, 1, FS, V
207.7, 1118, 1, FS, V
207.7, 1135, 1, FS, V
207.8, 1106, 1, RS, V
208, 1075, 1, RS, V
208, 1082, 1, RS, V
208.1, 1064, 1, RS, V
208.2, 1036, 1, RS, V
208.2, 1052, 1, RS, V
208.2, 1097, 1, RS, V
208.4, 1094, 1, RS, V
208.5, 1070, 1, RS, V
208.5, 1127, 1, FS, V
208.6, 1105, 1, RS, V
208.7, 1051, 1, RS, V
208.7, 1067, 1, RS, V
208.7, 1073, 1, RS, V
208.7, 1084, 1, RS, V
208.7, 1143, 1, FS, V
208.7, 1832, 2, RS, V
208.8, 1071, 1, RS, V
208.8, 1100, 1, RS, V
208.8, 1107, 1, RS, V
208.9, 1101, 1, RS, V
208.9, 1131, 1, FS, V
209, 1092, 1, RS, V
209.1, 1099, 1, RS, V
209.2, 1139, 1, FS, V
209.3, 397, 0, LTS, V
209.4, 1130, 1, FS, V
209.8, 1142, 1, FS, V
210.1, 1136, 1, FS, V
210.5, 1144, 1, FS, V
210.5, 1915, 2, LTS, V
210.8, 1124, 1, FS, V
211.1, 1116, 1, FS, V
211.1, 1151, 1, LTS, V
211.4, 1068, 1, RS, V
211.4, 1119, 1, FS, V
211.4, 1121, 1, FS, V
211.4, 1132, 1, FS, V
211.5, 1129, 1, FS, V
212.1, 1146, 1, FS, V
212.2, 3438, 4, LTS, V
212.3, 1123, 1, FS, V
212.4, 1087, 1, RS, V
212.5, 309, 0, RS, V
212.7, 1118, 1, FS, V
212.8, 1155, 1, LTS, V
212.8, 1943, 2, IB, V
213, 1140, 1, FS, V
213.3, 1145, 1, FS, V
213.5, 1134, 1, FS, V
213.6, 1106, 1, RS, V
213.9, 1075, 1, RS, V
213.9, 1127, 1, FS, V
214, 1082, 1, RS, V
214.2, 1064, 1, RS, V
214.2, 1152, 1, LTS, V
214.3, 1036, 1, RS, V
214.3, 1052, 1, RS, V
214.3, 1870, 2, RS, V
214.4, 1097, 1, RS, V
214.4, 1128, 1, FS, V
214.4, 1135, 1, FS, V
214.5, 1133, 1, FS, V
214.7, 1094, 1, RS, V
214.7, 1188, 1, IB, V
215, 1070, 1, RS, V
215.2, 1105, 1, RS, V
215.3, 377, 0, FS, V
215.3, 1051, 1, RS, V
215.3, 1067, 1, RS, V
215.3, 1084, 1, RS, V
215.4, 1073, 1, RS, V
215.5, 1071, 1, RS, V
215.5, 1100, 1, RS, V
215.6, 1107, 1, RS, V
215.7, 1101, 1, RS, V
215.8, 1092, 1, RS, V
216, 1099, 1, RS, V
216.5, 1149, 1, LTS, V
216.7, 1141, 1, FS, V
216.8, 1116, 1, FS, V
217.1, 1053, 1, RS, V
217.8, 1809, 2, RS, V
218.2, 385, 0, FS, V
218.6, 1900, 2, FS, V
219.2, 1120, 1, FS, V
219.4, 2701, 3, IB, V
219.6, 1130, 1, FS, V
219.6, 1144, 1, FS, V
219.7, 1123, 1, FS, V
220, 1879, 2, FS, V
220.6, 1061, 1, RS, V
221.1, 1890, 2, FS, V
222, 1121, 1, FS, V
222.4, 2675, 3, LTS, V
222.7, 1930, 2, IB, V
223.4, 1892, 2, FS, V
223.5, 1907, 2, FS, V
223.6, 1888, 2, FS, V
223.9, 1117, 1, FS, V
224, 2619, 3, RS, V
224.1, 1897, 2, FS, V
224.4, 1942, 2, IB, V
224.4, 2709, 3, IB, V
224.5, 1884, 2, FS, V
224.8, 1189, 1, IB, V
225, 1127, 1, FS, V
225.1, 1145, 1, FS, V
225.1, 1881, 2, FS, V
225.3, 1165, 1, IB, V
226.4, 1923, 2, IB, V
226.5, 1889, 2, FS, V
226.6, 1146, 1, FS, V
227.7, 1142, 1, FS, V
229.1, 387, 0, LTS, V
229.2, 3443, 4, LTS, V
229.8, 2700, 3, IB, V
230.3, 1947, 2, IB, V
230.6, 3431, 4, LTS, V
231.7, 378, 0, FS, V
231.7, 1164, 1, IB, V
231.8, 1923, 2, IB, V
232.2, 333, 0, RS, V
234.2, 1169, 1, IB, V
235.7, 399, 0, LTS, V
235.8, 1177, 1, IB, V
235.9, 1186, 1, IB, V
236.5, 2602, 3, RS, V
237.1, 1850, 2, RS, V
238.1, 1941, 2, IB, V
238.3, 1812, 2, RS, V
238.4, 2687, 3, IB, V
238.8, 2579, 3, RS, V
239.6, 1191, 1, IB, V
240.1, 2617, 3, RS, V
240.7, 1817, 2, RS, V
240.9, 2578, 3, RS, V
242.9, 2597, 3, RS, V
243.3, 2558, 3, RS, V
243.3, 2674, 3, LTS, V
243.7, 1859, 2, RS, V
244, 1860, 2, RS, V
244.8, 1924, 2, IB, V
245, 1952, 2, IB, V
245.2, 1819, 2, RS, V
245.2, 2693, 3, IB, V
245.3, 1040, 1, RS, V
245.4, 3436, 4, LTS, V
246.2, 1093, 1, RS, V
246.3, 2689, 3, IB, V
246.7, 1171, 1, IB, V
246.7, 1192, 1, IB, V
247.5, 2590, 3, RS, V
247.7, 1806, 2, RS, V
247.7, 2594, 3, RS, V
247.7, 2596, 3, RS, V
248, 1950, 2, IB, V
248, 2697, 3, IB, V
248.3, 1190, 1, IB, V
248.7, 416, 0, IB, V
249, 330, 0, RS, V
249.4, 1861, 2, RS, V
249.5, 1928, 2, IB, V
249.6, 327, 0, RS, V
250, 2576, 3, RS, V
250.2, 1175, 1, IB, V
250.4, 2663, 3, FS, V
251, 1033, 1, RS, V
251.8, 3456, 4, IB, V
252.1, 1836, 2, RS, V
252.4, 1794, 2, RS, V
252.8, 1876, 2, RS, V
253.1, 2714, 3, IB, V
253.2, 2637, 3, RS, V
253.3, 1846, 2, RS, V
253.4, 1148, 1, LTS, V
253.4, 2667, 3, FS, V
253.7, 1840, 2, RS, V
253.7, 1951, 2, IB, V
253.7, 3336, 4, RS, V
253.9, 2625, 3, RS, V
254, 1066, 1, RS, V
254.1, 2686, 3, IB, V
254.2, 1887, 2, FS, V
254.2, 2583, 3, RS, V
254.2, 2657, 3, FS, V
254.3, 1864, 2, RS, V
254.5, 323, 0, RS, V
254.5, 2688, 3, IB, V
254.6, 3433, 4, LTS, V
254.8, 1173, 1, IB, V
254.8, 1848, 2, RS, V
254.8, 1922, 2, IB, V
254.9, 1868, 2, RS, V
255, 409, 0, IB, V
255, 3449, 4, IB, V
255.1, 3381, 4, RS, V
255.4, 1837, 2, RS, V
255.5, 1150, 1, LTS, V
255.5, 2655, 3, FS, V
255.9, 1948, 2, IB, V
256, 1123, 1, FS, V
256, 1953, 2, IB, V
256.2, 1038, 1, RS, V
256.3, 2607, 3, RS, V
256.5, 1841, 2, RS, V
256.6, 1873, 2, RS, V
256.6, 2677, 3, LTS, V
256.7, 1160, 1, LTS, V
