4.8, 1156, 1, LTS, V
4.8, 1778, 2, LTS, VI
4.8, 2282, 2, LTS, III
5.1, 542, 0, LTS, IV
5.1, 1931, 2, LTS, V
5.2, 1021, 1, LTS, VI
5.3, 1304, 1, LTS, IV
5.3, 1779, 2, LTS, VI
5.4, 1162, 1, LTS, V
5.4, 1783, 2, LTS, VI
5.6, 749, 0, LTS, III
5.8, 2683, 3, LTS, V
5.9, 2272, 2, LTS, III
6, 1028, 1, LTS, VI
6, 1792, 2, LTS, VI
6, 3569, 4, LTS, IV
6.5, 2546, 3, LTS, VI
6.5, 2692, 3, LTS, V
6.5, 2932, 3, RS, III
6.6, 261, 0, LTS, VI
6.6, 1166, 1, LTS, V
6.7, 1930, 2, LTS, V
6.7, 3199, 4, RS, VI
6.8, 1520, 1, LTS, III
6.9, 1031, 1, LTS, VI
7.4, 532, 0, LTS, IV
7.5, 3572, 4, LTS, IV
7.6, 2687, 3, LTS, V
7.6, 3581, 4, LTS, IV
7.7, 168, 0, RS, VI
7.7, 3446, 4, LTS, V
7.9, 1515, 1, LTS, III
7.9, 3301, 4, LTS, VI
8, 827, 1, RS, VI
8, 1286, 1, LTS, IV
8.1, 748, 0, LTS, III
8.1, 3041, 3, LTS, III
8.4, 1519, 1, LTS, III
8.4, 2817, 3, LTS, IV
8.4, 3300, 4, LTS, VI
8.8, 2548, 3, LTS, VI
8.9, 1285, 1, LTS, IV
9, 394, 0, LTS, V
9.2, 256, 0, LTS, VI
9.2, 401, 0, LTS, V
9.3, 3311, 4, LTS, VI
9.3, 3586, 4, LTS, IV
9.5, 756, 0, LTS, III
9.5, 3305, 4, LTS, VI
9.6, 2060, 2, LTS, IV
9.7, 757, 0, LTS, III
9.7, 1921, 2, LTS, V
9.8, 1170, 1, LTS, V
9.8, 3576, 4, LTS, IV
10, 2551, 3, LTS, VI
10.2, 3037, 3, LTS, III
10.7, 3450, 4, LTS, V
11.1, 528, 0, LTS, IV
11.2, 1298, 1, LTS, IV
11.2, 2539, 3, LTS, VI
11.6, 1782, 2, LTS, VI
11.6, 2544, 3, LTS, VI
11.7, 396, 0, LTS, V
11.9, 1305, 1, LTS, IV
12.1, 3038, 3, LTS, III
12.1, 3304, 4, LTS, VI
12.2, 260, 0, LTS, VI
12.2, 268, 0, LTS, VI
12.2, 1295, 1, LTS, IV
12.2, 2818, 3, LTS, IV
12.5, 269, 0, LTS, VI
12.5, 755, 0, LTS, III
12.6, 1929, 2, LTS, V
12.7, 1785, 2, LTS, VI
12.7, 2826, 3, LTS, IV
12.8, 3798, 4, LTS, III
12.9, 2065, 2, LTS, IV
13.3, 3314, 4, LTS, VI
13.4, 2691, 3, LTS, V
13.6, 752, 0, LTS, III
13.6, 2276, 2, LTS, III
13.6, 3451, 4, LTS, V
13.7, 2050, 2, LTS, IV
13.7, 2685, 3, LTS, V
13.9, 2825, 3, LTS, IV
14.5, 544, 0, LTS, IV
14.5, 1025, 1, LTS, VI
14.6, 1299, 1, LTS, IV
14.8, 267, 0, LTS, VI
15, 2055, 2, LTS, IV
15.1, 3302, 4, LTS, VI
15.2, 3804, 4, LTS, III
15.3, 2681, 3, LTS, V
15.4, 258, 0, LTS, VI
15.5, 530, 0, LTS, IV
15.6, 539, 0, LTS, IV
15.6, 1169, 1, LTS, V
15.6, 1513, 1, LTS, III
16, 541, 0, LTS, IV
16.1, 1030, 1, LTS, VI
16.2, 2812, 3, LTS, IV
16.5, 2811, 3, LTS, IV
16.6, 1167, 1, LTS, V
16.6, 2549, 3, LTS, VI
16.8, 3573, 4, LTS, IV
17, 1291, 1, LTS, IV
17.2, 1163, 1, LTS, V
17.2, 2810, 3, LTS, IV
17.4, 1518, 1, LTS, III
17.5, 1023, 1, LTS, VI
17.5, 1925, 2, LTS, V
17.5, 3439, 4, LTS, V
17.9, 2047, 2, LTS, IV
18, 535, 0, LTS, IV
18.2, 2275, 2, LTS, III
18.3, 3588, 4, LTS, IV
18.4, 3313, 4, LTS, VI
18.5, 540, 0, LTS, IV
18.5, 758, 0, LTS, III
18.9, 393, 0, LTS, V
18.9, 1303, 1, LTS, IV
19.2, 2821, 3, LTS, IV
19.5, 1155, 1, LTS, V
19.6, 1292, 1, LTS, IV
19.6, 1521, 1, LTS, III
19.7, 2550, 3, LTS, VI
20.2, 397, 0, LTS, V
20.2, 754, 0, LTS, III
20.2, 2280, 2, LTS, III
20.2, 3034, 3, LTS, III
20.4, 405, 0, LTS, V
20.5, 402, 0, LTS, V
20.5, 2270, 2, LTS, III
21.5, 3797, 4, LTS, III
21.6, 2813, 3, LTS, IV
21.7, 2059, 2, LTS, IV
21.8, 2541, 3, LTS, VI
21.9, 2690, 3, LTS, V
22.1, 543, 0, LTS, IV
22.3, 2689, 3, LTS, V
23.3, 1927, 2, LTS, V
23.4, 2066, 2, LTS, IV
23.4, 2815, 3, LTS, IV
23.6, 3035, 3, LTS, III
23.9, 1289, 1, LTS, IV
24.1, 537, 0, LTS, IV
24.1, 3792, 4, LTS, III
24.4, 3441, 4, LTS, V
25.7, 1512, 1, LTS, III
25.8, 2274, 2, LTS, III
26.6, 3574, 4, LTS, IV
26.7, 2828, 3, LTS, IV
26.8, 1287, 1, LTS, IV
27, 1789, 2, LTS, VI
27.3, 3443, 4, LTS, V
27.6, 533, 0, LTS, IV
27.7, 3449, 4, LTS, V
28.1, 1514, 1, LTS, III
28.5, 2677, 3, LTS, V
28.7, 1017, 1, LTS, VI
28.7, 3581, 4, LTS, IV
29.1, 525, 0, LTS, IV
29.3, 2051, 2, LTS, IV
30.6, 1916, 2, LTS, V
30.6, 2553, 3, LTS, VI
30.8, 3043, 3, LTS, III
31.1, 1294, 1, LTS, IV
31.4, 2823, 3, LTS, IV
31.5, 2822, 3, LTS, IV
31.7, 1027, 1, LTS, VI
31.7, 3039, 3, LTS, III
31.7, 3802, 4, LTS, III
31.9, 2820, 3, LTS, IV
32.1, 257, 0, LTS, VI
32.8, 3796, 4, LTS, III
32.9, 2548, 3, LTS, VI
32.9, 3031, 3, LTS, III
33.2, 1922, 2, LTS, V
33.7, 403, 0, LTS, V
33.8, 2808, 3, LTS, IV
34, 3794, 4, LTS, III
34.2, 266, 0, LTS, VI
34.2, 3578, 4, LTS, IV
34.3, 1790, 2, LTS, VI
35, 1511, 1, LTS, III
35.1, 1170, 1, LTS, V
35.3, 400, 0, LTS, V
35.7, 2052, 2, LTS, IV
36.1, 3453, 4, LTS, V
36.2, 1159, 1, LTS, V
36.3, 2807, 3, LTS, IV
36.5, 2676, 3, LTS, V
36.7, 395, 0, LTS, V
36.7, 1780, 2, LTS, VI
37.1, 3452, 4, LTS, V
37.2, 1029, 1, LTS, VI
37.9, 3587, 4, LTS, IV
38, 3803, 4, LTS, III
38.8, 3437, 4, LTS, V
39.3, 2819, 3, LTS, IV
39.5, 1791, 2, LTS, VI
39.9, 2062, 2, LTS, IV
40, 1169, 1, LTS, V
40.3, 3042, 3, LTS, III
40.8, 3312, 4, LTS, VI
40.8, 3802, 4, LTS, III
41.1, 3447, 4, LTS, V
41.3, 2686, 3, LTS, V
42.2, 3448, 4, LTS, V
42.3, 1787, 2, LTS, VI
42.5, 545, 0, LTS, IV
42.5, 2679, 3, LTS, V
42.7, 2827, 3, LTS, IV
43.1, 2064, 2, LTS, IV
43.1, 3579, 4, LTS, IV
43.1, 3582, 4, LTS, IV
43.7, 2058, 2, LTS, IV
